1.3125	7.19694	7.21366	2.81114	3.7078	1.57467	1.27214
1.31641	7.16969	7.18668	2.80214	3.7001	1.56541	1.26972
1.32031	7.14264	7.15989	2.7932	3.6924	1.55624	1.26732
1.32422	7.11577	7.13329	2.78431	3.68471	1.54716	1.26495
1.32813	7.0891	7.10688	2.77546	3.67703	1.53817	1.2626
1.33203	7.06261	7.08066	2.76667	3.66936	1.52926	1.26027
1.33594	7.03631	7.05461	2.75793	3.66169	1.52045	1.25797
1.33984	7.01019	7.02875	2.74924	3.65404	1.51172	1.25568
1.34375	6.98426	7.00307	2.7406	3.64639	1.50307	1.25342
1.34766	6.95851	6.97757	2.732	3.63875	1.4945	1.25118
1.35156	6.93293	6.95224	2.72346	3.63112	1.48602	1.24896
1.35547	6.90754	6.92709	2.71496	3.62349	1.47761	1.24676
1.35938	6.88232	6.90211	2.70651	3.61588	1.46929	1.24458
1.36328	6.85727	6.8773	2.69811	3.60828	1.46104	1.24242
1.36719	6.83239	6.85266	2.68976	3.60068	1.45287	1.24028
1.37109	6.80769	6.82818	2.68146	3.59309	1.44478	1.23816
1.375	6.78315	6.80387	2.6732	3.58552	1.43676	1.23605
1.37891	6.75878	6.77973	2.66499	3.57795	1.42881	1.23397
1.38281	6.73458	6.75575	2.65682	3.57039	1.42093	1.23191
1.38672	6.71053	6.73193	2.6487	3.56284	1.41313	1.22986
1.39063	6.68666	6.70826	2.64063	3.5553	1.4054	1.22783
1.39453	6.66294	6.68476	2.6326	3.54776	1.39773	1.22583
1.39844	6.63938	6.6614	2.62462	3.54024	1.39014	1.22383
1.40234	6.61597	6.63821	2.61668	3.53273	1.38261	1.22186
1.40625	6.59273	6.61516	2.60879	3.52523	1.37515	1.2199
1.41016	6.56963	6.59227	2.60094	3.51774	1.36776	1.21796
1.41406	6.54669	6.56953	2.59313	3.51025	1.36043	1.21603
1.41797	6.5239	6.54693	2.58537	3.50278	1.35316	1.21413
1.42188	6.50126	6.52448	2.57765	3.49532	1.34596	1.21223
1.42578	6.47877	6.50218	2.56998	3.48786	1.33882	1.21036
1.42969	6.45643	6.48002	2.56234	3.48042	1.33174	1.2085
1.43359	6.43423	6.458	2.55475	3.47299	1.32472	1.20665
1.4375	6.41217	6.43612	2.5472	3.46556	1.31777	1.20482
1.44141	6.39026	6.41439	2.5397	3.45815	1.31087	1.203
